,Model,Modality,Info,Ext.,Classification
0,,,FUNSD,CORD,RVL-CDIP
1,Donut,V,,91.6,95.3
2,BERT large,T,65.63,90.25,89.92
3,BROS large [15],T+L,84.52,97.40,
4,StructuralLMlarge,T+L,85.14,,96.08
5,LiLT [47],T+L,88.41,96.07,95.68
6,FormNet [23],T+L,84.69,97.28,
7,LayoutLMlarge,T+L,77.89,,91.90
8,SelfDoc,V+T+L,83.36,,92.81
9,UDoc,V+T+L,87.93,98.94,95.05
10,DocFormerlarge [1],V+T+L,84.55,96.99,95.50
11,TILT large,V+T+L,,96.33,95.52
12,LayoutLMv2large,V+T+L,84.20,96.01,95.64
13,LayoutLMv3 large,V+T+L,92.08,97.46,95.93
14,UDOP-Dual,V+T+L,91.20 0.21,97.64±0.12,96.22 0.27
15,UDOP,V+T+L,91.62±0.34,97.58±0.15,96.00±0.26
