,Model,Modality,Info FUNSD,Ext. CORD,Classification RVL-CDIP
0,Donut,V,,91.6,95.3
1,BERT large,T,65.63,90.25,89.92
2,BROS large [15],T+L,84.52,97.40,
3,StructuralLMlarge,T+L,85.14,,96.08
4,LiLT [47],T+L,88.41,96.07,95.68
5,FormNet [23],T+L,84.69,97.28,
6,LayoutLMlarge,T+L,77.89,,91.90
7,SelfDoc,V+T+L,83.36,,92.81
8,UDoc,V+T+L,87.93,98.94,95.05
9,DocFormerlarge [1],V+T+L,84.55,96.99,95.50
10,TILT large,V+T+L,,96.33,95.52
11,LayoutLMv2large,V+T+L,84.20,96.01,95.64
12,LayoutLMv3 large,V+T+L,92.08,97.46,95.93
13,UDOP-Dual,V+T+L,91.20,97.64,96.22
14,UDOP,V+T+L,91.62,97.58,96.00
