,,training dataset,MNLI-M/MM,QQP,QNLI,SST-2,COLA,STS-B,MRPC,RTE,avg
0,BERT-Base,Wiki + BC,84.0/84.0,87.6,91.0,92.6,60.3,88.8,90.2,69.5,83.1
1,PIXEL,Wiki + BC,78.1/78.1,84.5,87.8,89.6,38.4,81.1,88.2,60.5,76.3
2,BILSTM,,66.7/66.7,82.0,77.0,87.5,17.6,72.0,85.1,58.5,68.1
3,"BILSTM+Attn, ELMO",,72.4/72.4,83.6,75.2,91.5,44.1,56.1,82.1,52.7,70.0
4,CLIP* img enc.,WebLI,66.4/66.4,78.6,69.4,78.6,0.0,5.2,81.2,52.7,55.5
5,CLIP* text enc.,WebLI,71.8/71.8,82.7,73.0,86.2,6.6,65.0,81.4,53.8,65.9
6,1T-CLIP text enc.,WebLI,72.6/72.6,83.8,80.7,84.9,0.0,79.6,83.3,57.0,68.3
7,CLIPPO,WebLI,73.0/73.0,84.3,81.2,86.8,1.8,80.5,84.1,53.4,68.6
8,CLIPPO,WebLI+25%C4,77.7/77.7,85.3,83.1,90.9,28.2,83.4,84.5,59.2,74.4
9,CLIPPO,WebLI + 50%C4,79.2 79.2,86.4,84.2,92.9,38.9,83.4,84.8,59.9,76.6
10,CLIPPO,C4,79.9/79.9,86.7,85.2,93.3,50.9,84.7,86.3,58.5,78.4
11,CLIPPO L/16 CLIPPO L/16,WebLI+25%C4 WebLI + 50%C4,76.6/76.6 82.3/82.3,87.1 87.9,79.9 86.7,93.2 94.2,48.2 55.3,84.1 85.8,84.6 85.9,56.0 59.2,76.1 80.0
