,,lan.,#param.,training dataset,steps,Ilk 10s.,Ilk Os.,CI→T,CT I,FI→T,FT I
0,CLIP*,EN,203M,WebLI,100k,52.9,62.8,47.2,29.7,76.8,57.2
1,1T-CLIP,EN,118M,WebLI,100k,50.9,60.1,46.2,28.2,76.1,55.2
2,CLIPPO,EN,93M,WebLI,100k,49.7,58.0,44.9,29.0,73.1,55.4
3,CLIPPO untied,EN,186M,WebLI,100k,52.4,61.8,47.2,29.5,76.6,55.0
4,CLIPPO,EN,93M,WebLI+25%C4,133k,49.4,55.4,40.2,25.3,69.0,50.5
5,CLIPPO,EN,93M,WebLI+50%C4,200k,45.6,51.1,34.3,21.7,61.7,43.2
6,1T-CLIP L/16,EN,349M,WebLI,100k,58.0,65.6,49.5,31.6,80.2,57.8
7,CLIPPO L/16,EN,316M,WebLI,100k,56.6,64.9,50.2,33.0,77.0,61.5
8,CLIP* 1T-CLIP,ML ML,203M 118M,WebLI WebLI,100k 100k,50.8 49.2,59.0 55.2,43.6 41.6,27.4 25.4,71.1 70.9,53.2 51.0
9,CLIPPO,ML,93M,WebLI,100k,47.3,52.0,38.9,24.4,67.7,48.3
10,CLIPPO JFT init CLIPPO JFT init,EN EN,93M 93M,WebLI WebLI +25%C4,100k 133k,57.1 54.5,59.9 56.3,43.9 37.0,29.2 24.3,71.1 64.4,55.0 47.3
11,CLIPPO JFT init 1T-CLIP CLIPPO,EN EN EN,93M 118M 93M,WebLI + 50%C4 LAION LAION,200k 100k 100k,50.9 46.0 45.3,51.8 54.3 53.6,34.3 49.0 46.7,22.1 31.5 30.3,60.5 77.5 76.9,45.1 59.7 58.9
12,CLIPPO CLIPPO,EN EN,93M 93M,LAION +25%C4 LAION + 50%C4,133k 200k,44.9 41.4,50.6 46.0,41.8 38.2,27.2 24.3,71.1 66.3,53.7 49.0
13,CLIP*,EN,203M,WebLI,250k,55.8,65.1,48.5,31.3,79.2,59.4
14,1T-CLIP,EN,118M,WebLI,250k,53.9,62.3,48.0,30.3,77.5,58.2
15,CLIPPO,EN,93M,WebLI,250k,53.0,61.4,47.3,30.1,76.4,57.3
16,CLIPPO,EN,93M,WebLI+25%C4,333k,52.1,57.4,40.7,26.7,68.9,51.8
17,CLIPPO,EN,93M,WebLI + 50%C4,500k,48.0,53.1,35.2,23.4,64.8,47.2
18,1T-CLIP L/16,EN,349M,WebLI,250k,60.8,67.8,50.7,32.5,81.0,61.0
19,CLIPPO L/16,EN,316M,WebLI,250k,60.3,67.4,50.6,33.4,79.2,62.6
20,CLIPPO L/16 CLIPPO L/16,EN EN,316M 316M,WebLI+25%C4 WebLI+50%C4,500k 500k,60.5 56.8,66.0 61.7,44.5 39.7,29.8 27.3,72.9 70.1,57.3 54.7
21,1T-CLIP 384px CLIPPO 384px,EN EN,118M 93M,WebLI WebLI,270k 270k,57.8 57.2,66.2 64.7,51.5 51.0,32.7 32.9,81.7 79.9,63.0 61.9
22,CLIPPO 384px,EN,93M,WebLI +25%C4,350k,56.0,61.0,44.3,27.9,73.4,55.0
23,1T-CLIP L/16 384px,EN,349M,WebLI,270k,64.5,70.9,52.6,34.8,81.6,63.8
24,CLIPPO L/16 384px,EN,317M,WebLI,270k,63.9,70.5,54.4,35.3,83.6,64.9
25,CLIPPO L/16 384px,EN,317M,WebLI+25%C4,520k,64.2,69.0,47.5,31.9,76.2,59.7
26,CLIP* 1T-CLIP,ML ML,203M 118M,WebLI WebLI,250k 250k,53.7 52.6,62.1 58.4,46.9 44.9,29.4 27.7,76.9 72.2,57.8 53.7
27,CLIPPO,ML,93M,WebLI,250k,51.1,56.1,42.5,26.6,69.9,52.9
