,,lan.,training,dataset steps,MNLI-M/MM,QQP,QNLI SST-2,COLA,STS-B,MRPC,RTE,avg
0,BERT-Base PIXEL,EN EN,Wiki + Wiki +,BC BC,84.0/84.0 78.1/78.1,87.6 84.5,91.0 87.8 92.6 89.6,60.3 38.4,88.8 81.1,90.2 88.2,69.5 60.5,83.1 76.3
1,BILSTM BILSTM+Attn+ELMO,EN EN,,,66.7/66.7 72.4/72.4,82.0 83.6,77.0 75.2 87.5 91.5,17.6 44.1,72.0 56.1,85.1 82.1,58.5 52.7,68.1 70.0
2,ViT from scratch,EN EN,WebLI,100k,33.4/33.4 65.2/65.2,51.2 75.7,56.4 68.0 53.9 77.8,0.0 0.0,5.1 6.9,81.2 81.5,52.7 52.3,40.8 54.9
3,CLIP* img.enc.,,,,,,,,6.9,,,
4,CLIP* text enc.,EN,WebLI,100k,70.6/70.6,80.6,71.1 85.9,0.0,62.4,82.1,54.9,64.3
5,1T-CLIP img.enc.,EN,WebLI,100k,64.4/64.4,74.2,65.8 74.5,0.0,12.0,81.6,53.8,54.7
6,1T-CLIP text enc.,EN,WebLI,100k,71.6/71.6,83.5,80.5 85.0,0.0,74.1,82.8,54.2,67.0
7,CLIPPO unt. img. enc.,EN,WebLI,100k,64.8/64.8,76.4,67.0 77.1,0.0,7.0,81.4,51.6,54.5
8,CLIPPO unt. text enc.,EN,WebLI,100k,65.2 65.2,83.7,74.8 86.6,3.1,56.1,81.8,54.9,63.5
9,CLIPPO,EN,WebLI,100k,72.2/72.2,84.0,81.2 86.7,0.0,81.0,84.0,57.8,68.8
10,CLIPPO,EN,WebLI,+25%C4 133k,77.0/77.0,85.4,82.8 90.9,20.1,83.1,83.6,54.5,72.7
11,CLIPPO,EN,WebLI,+50%C4 250k,78.8/78.8,86.0,84.8 92.0,34.4,83.1,84.2,58.8,75.6
12,CLIPPO,EN,C4,100k,79.3/79.3,86.4,85.4 93.2,47.7,84.2,83.7,59.6,77.6
13,CLIPPO,ML,WMT19,100k,72.9/72.9,80.8,74.5 88.6,4.0,19.6,81.9,55.6,61.2
14,CLIPPO,EN,WMT19,BT 100k,70.0/70.0,80.5,80.1 84.6,10.8,65.7,81.6,56.0,66.6
15,1T-CLIP L/16,EN,WebLI,100k,72.8/72.8,84.3,81.4 88.5,0.0,79.1,82.3,53.4,68.3
16,CLIPPO L/16,EN,WebLI,100k,67.4/67.4,84.9,76.7 86.5,0.0,81.5,82.9,53.1,66.6
17,CLIP* img. enc. CLIP* text enc.,ML ML,WebLI WebLI,100k 100k,63.3/63.3 63.163.1,73.8 79.2,65.9 70.6 75.6 75.6,0.0 4.4,7.0 34.8,81.7 81.2,54.5 49.8,54.0 58.0
18,1T-CLIP img.enc.,ML,WebLI,100k,62.9/62.9,73.5,63.8 71.9,0.0,6.5,81.3,53.1,53.0
19,1T-CLIP text enc.,ML,WebLI,100k,64.9/64.9,80.5,74.7 78.6,4.2,66.0,81.5,50.2,62.8
20,CLIPPO,ML,WebLI,100k,72.0/72.0,82.1,80.4 85.0,0.0,16.1,81.6,50.9,60.0
21,1T-CLIP img.enc. 1T-CLIP text enc.,EN EN,LAION LAION,100k 100k,66.8/66.8 72.2/72.2,77.9 84.1,73.3 79.8 78.8 86.9,0.0 0.0,12.9 38.0,81.7 81.4,55.2 54.2,57.1 63.3
22,CLIPPO,EN,LAION,100k,73.2/73.2,84.2,80.9 86.5,0.0,75.3,82.2,53.8,67.7
23,CLIPPO,EN,LAION,+25%C4 133k,77.0/77.0,85.5,91.1 83.3,22.0,83.3,84.6,57.0,73.4
24,CLIPPO,EN,LAION,+ 50%C4 250k,78.8/78.8,86.1,92.2 84.3,38.3,83.7,83.9,55.2,75.7
25,CLIP* img enc.,EN,WebLI,250k,66.4/66.4,78.6,69.4 78.6,0.0,5.2,81.2,52.7,55.5
