,,N dmodel dff,h,dk,dv,Pdrop,Els,train steps,PPL (dev),BLEU (dev),params ×106
0,base,6 512 2048,8,64,64,0.1,0.1,100K,4.92,25.8,65
1,,,1,512,512,,,,5.29,24.9,
2,,,4,128,128,,,,5.00,25.5,
3,(A),,16 32,32 16,32 16,,,,4.91 5.01,25.8 25.4,
4,(B),,,16 32,,,,,5.16 5.01,25.1 25.4,58 60
5,,248,,,,,,,6.11 5.19 4.88,23.7 25.3 25.5,36 50 80
6,(C),256 1024,,32 128,32 128,,,,5.75 4.66,24.5 26.0,28 168
7,,1024 4096,,,,,,,5.12 4.75,25.4 26.2,53 90
8,,,,,,0.0,,,5.77,24.6,
9,(D),,,,,0.2,0.0 0.2,,4.95 4.67 5.47,25.5 25.3 25.7,
10,(E),positional,embedding,,instead,of sinusoids,,,4.92,25.7,
11,big,1024 4096 6,16,,,0.3,,300K,4.33,26.4,213
